player_id,sleeper_rank,bye_week,sleeper_proj_dollar,sleeper_board_pts_half_ppr
9221,1,6,58,299.9
9509,2,11,56,292.9
7564,3,6,48,256.6
4034,4,8,43,256
6813,5,13,40,254.3
9493,6,11,46,259
7547,7,6,38,227.5
9488,8,11,46,235.1
8138,9,7,37,245.3
4866,10,10,34,228.2
6786,11,14,35,222.5
6794,12,6,35,205.4
9226,13,6,34,229.9
12527,14,13,34,211.4
3198,15,13,28,238.4
12507,16,7,32,218.9
8151,17,5,32,225.5
9224,18,6,30,226.7
5859,19,11,31,207.7
4984,20,7,52,361.5
8112,21,11,31,205.2
7569,22,8,28,220
11604,23,13,33,202.5
8150,24,11,24,192
8137,25,14,27,205.7
13287,26,14,27,188.3
8130,27,14,34,186.9
11632,28,8,26,193.7
10229,29,5,26,185.3
8144,30,8,26,194.9
8155,31,13,24,192.5
7588,32,14,23,193
7525,33,10,21,189.2
4881,34,13,39,326
11635,35,7,20,187.7
12526,36,5,23,184.5
12481,37,8,18,180.2
5850,38,11,25,80.2
6801,39,6,22,186.9
7543,40,8,16,189.7
12514,41,10,17,185.5
9997,42,13,22,187.7
12517,43,10,26,173.4
5892,44,8,14,190.1
8146,45,13,18,183.4
7526,46,10,16,182.5
11584,47,10,21,179.3
6790,48,10,14,189.5
12512,49,11,14,180
12518,50,13,22,159.6
11564,51,11,38,320.76
4983,52,7,13,147.5
5927,53,7,14,176.8
6770,54,6,35,306.12
2133,55,11,14,161
12529,56,11,14,153.5
13286,57,11,11,160.5
8148,58,6,14,176.2
12490,59,7,13,158.8
12519,60,10,15,173
6904,61,10,28,310.54
2216,62,8,13,187.2
11620,63,10,13,173.9
10859,64,6,14,158.5
8167,65,11,12,176.1
9484,66,11,13,140.9
8228,67,9,11,152.6
13279,68,9,13,144.8
11566,69,7,34,308.72
9487,70,7,10,176.4
7611,71,11,9,154.5
7553,72,11,13,138.6
11628,73,14,9,155.2
11560,74,10,32,299.34
11631,75,7,9,164.4
12506,76,11,13,143.4
5846,77,9,10,152.3
5967,78,9,8,146.1
7594,79,5,6,136.9
5045,80,10,8,144.8
6797,81,7,27,295.48
12489,82,10,10,125.6
7021,83,9,6,142.1
4217,84,8,6,138.3
6806,85,10,5,147.2
3294,86,14,26,303.88
11583,87,5,3,137.9
13294,88,10,5,138.5
10232,89,14,6,136.5
4037,90,10,5,139.6
10236,91,7,9,130.6
11586,92,11,4,127.8
1466,93,5,8,136.4
8142,94,13,3,150.9
8408,95,6,2,143.7
12534,96,10,5,143.1
LAR,97,11,1,106
12533,98,7,2,118.4
7523,99,7,24,303.42
9756,100,6,3,141.7
10222,101,11,3,162.6
9754,102,7,2,134.9
6819,103,9,2,136.4
12508,104,8,25,296.54
HOU,105,8,1,104
421,106,11,15,280.22
7567,107,10,2,128.8
8131,108,8,4,126.3
13281,109,8,6,90.5
2449,110,7,2,125.3
13298,111,11,2,127.4
9500,112,13,2,137.3
8110,113,14,5,124.8
SEA,114,11,1,103
4046,115,5,23,286.68
13417,116,8,1,105.4
4199,117,6,2,120.1
11563,118,10,23,295.72
12501,119,11,2,141
8126,120,9,2,135.2
DEN,121,10,1,96
5012,122,13,3,132.5
8136,123,7,1,111.1
5022,124,10,3,109.5
8183,125,8,20,303.2
10219,126,7,1,125
11624,127,5,1,134
8121,128,11,1,132.7
PHI,129,10,1,98
8132,130,14,1,72.7
5872,131,8,1,127.7
5947,132,7,2,137.3
BAL,133,13,1,95
NE,134,11,1,92
11533,135,14,,116
11581,136,11,1,137
13305,137,13,1,89.5
8259,138,7,,106
2747,139,11,,111
3451,140,8,,113
12474,141,8,1,74.3
9753,142,11,1,61.7
13293,143,13,1,87.4
3163,144,6,15,283.46
11646,145,5,1,135.9
11786,146,7,,112
13345,147,10,1,58.9
3214,148,11,2,124.5
5849,149,6,12,283.06
8676,150,11,1,115.6
7839,151,6,,106
11655,152,8,1,100.8
8134,153,7,1,135.2
11539,154,6,,105
4892,155,10,13,274.88
LAC,156,7,1,86
MIN,157,6,1,92
JAX,158,7,1,91
4035,159,8,1,53
12015,160,11,,106
13414,161,8,1,39.3
7002,162,8,1,112.9
9225,163,10,1,61.2
6804,164,11,14,278.52
9511,165,7,1,87.9
11792,166,6,,109
8180,167,13,1,107.6
9508,168,9,1,97.1
PIT,169,9,1,88
13346,170,11,1,108.2
9480,171,7,1,129.5
12493,172,7,2,113.8
DET,173,6,1,92
8154,174,11,1,63.4
5189,175,8,,101
8205,176,6,1,48.6
9504,177,8,1,104.7
1479,178,13,1,84.8
4227,179,5,,100
11610,180,6,1,107.3
10213,181,13,1,102.9
13413,182,5,1,77.5
13337,183,5,1,59.2
5844,184,6,1,122
4943,185,11,11,262.74
11576,186,13,1,47.2
1945,187,9,,107
12530,188,7,1,83.1
12545,189,8,11,270.94
12711,190,13,,106
8161,191,6,6,270.12
8210,192,7,1,113.6
13330,193,13,1,80.2
9502,194,8,1,43.4
12469,195,11,1,77.2
11603,196,11,1,113.4
13276,197,13,1,104.6
13545,198,11,,70
13285,199,8,1,86.2
DAL,200,14,,86
13296,201,6,1,77.8
9486,202,10,1,57.4
4039,203,11,1,70.4
13269,204,13,5,212.16
11575,205,7,1,60.6
12487,206,11,1,82.8
5001,207,8,1,118.9
GB,208,11,1,86
9758,209,8,8,247.82
11618,210,10,1,105.4
6783,211,11,1,98.1
13288,212,9,1,57.7
7049,213,6,1,86.2
13311,215,6,1,54.7
SF,216,8,,84
CHI,217,10,,85
5995,218,13,,55.7
6650,219,10,,105
5870,220,13,4,223.54
KC,221,5,1,87
12467,222,8,,54.2
11625,223,13,1,80.8
4033,224,7,1,46.5
11643,225,6,,41.1
12492,226,10,1,78.9
4137,227,14,1,51.7
11647,228,7,1,53
12509,229,7,1,93.4
12522,230,9,6,227.84
7600,231,9,1,102.9
13320,232,11,1,63.5
11783,233,14,1,97.7
3321,234,,1,77.2
12457,235,10,1,52.1
13405,236,7,1,41.9
9228,237,5,3,235.58
12535,238,6,1,73.1
96,239,9,1,177
12713,240,11,,96
13301,243,7,1,61.2
13317,245,10,1,79.9
13274,248,9,1,80.9
11637,250,7,,71.3
8172,251,6,1,87.4
13347,253,6,1,22.8
12502,255,9,1,101.8
8111,258,10,1,95.8
13349,261,10,1,65.9
9506,263,10,1,48.5
4981,265,9,,63.8
3257,267,14,1,160
8698,270,8,1,55.8
1373,275,13,1,222.48
6768,277,11,1,92.96
7090,279,8,,60.9
12497,281,11,,76.5
6865,283,11,1,61.8
11597,285,8,,61.5
11627,288,10,,54.1
11435,291,11,,51
6803,294,8,,41.6
503,343,,,14
6136,367,10,,12.22
5230,374,,,14
11762,410,13,,2.7
7531,438,5,,1.4
4233,443,,,36
4171,452,,,5
11377,463,7,,3
11921,481,,,5.6
13516,498,6,,2.8
6001,503,6,,25.1
6154,505,10,,22.4
8208,533,10,,6.4
8207,542,11,,3.8
13838,545,,,6
8258,559,,,9
11237,566,6,,23.5
8489,569,13,,3.9
8195,570,11,,5.6
11320,575,5,,0.6
13066,582,,,31
2307,594,7,,13.12
13282,596,6,,42.8
6659,603,7,,3.4
7587,609,7,,3.9
4602,612,9,,1.4
12548,620,11,,6
12486,622,11,,11.86
6853,625,,,5.3
11729,630,6,,3
11640,647,,,22
13434,652,6,,49.1
4189,654,11,,4.2
13329,664,13,,50.1
13419,673,5,,9.7
13846,679,11,,5.3
13435,683,11,,46.3
4219,692,7,,7.9
12185,694,13,,75
11617,705,11,,5.8
4464,718,7,,12.04
13420,720,8,,31.2
12542,722,11,,3.6
6820,723,,,0.8
8145,729,13,,6.8
4040,735,,,3.1
3200,737,,,0.6
5119,741,13,,34
5970,747,7,,37.6
6938,751,,,4.1
11168,756,11,,20.6
11599,765,8,,26.2
1837,773,,,12.32
7694,774,5,,25.3
2359,776,7,,3.8
11256,798,10,,12.5
11574,802,13,,9.9
8168,814,11,,2.5
12511,821,9,1,22.5
827,824,11,,12.9
7075,828,11,,6
8181,833,13,,12.7
4995,835,13,,3
4054,836,13,,11.4
7561,841,,,8.3
13348,842,7,,28.2
10234,848,7,,-0.9
13302,858,13,,26.1
11510,860,14,,6.5
8117,861,6,,27.7
11201,865,11,,3.4
7716,878,7,,25.3
11650,879,7,,7.3
10227,880,10,,6.1
5095,881,8,,104
7670,894,7,,26.6
12473,904,5,,11.7
650,914,11,,95
4147,923,6,,62.8
3202,924,11,,26.2
8800,925,14,,63.4
5938,929,10,,20
13322,931,10,,26.5
6528,934,9,,84
8116,935,11,,6.5
5409,939,6,,4.3
4663,940,,,7.8
5086,943,,,22.9
12520,946,9,,3.8
3161,947,6,,12.44
