player_id,player,position,team,bye_week,season_pts_half_ppr,aav_espn,aav_nffc,aav_yahoo,pass_yds,pass_tds,pass_ints,rush_yds,rush_tds,rec_yds,rec_tds,receptions,fumbles_lost,fg_0_39,pat_made,def_sacks,def_ints,def_fumble_recoveries,def_tds,def_safeties
4984,Josh Allen,QB,BUF,7,361.29,33.7,19,30.8,3816.77,27.42,11.19,585.97,11.82,,,,4.1,,,,,,,
4881,Lamar Jackson,QB,BAL,13,315.41,19.1,10,16,3652.11,28.34,9.57,640.41,3.23,,,,4.16,,,,,,,
11566,Jayden Daniels,QB,WAS,7,311.56,13.3,6,6.9,3679.55,23.79,10.96,685.99,4.7,,,,2.83,,,,,,,
6904,Jalen Hurts,QB,PHI,10,313.05,12.6,5,6.2,3570.53,24.17,7.39,461.27,8.38,,,,4.04,,,,,,,
11564,Drake Maye,QB,NE,11,309.99,14.3,11,9.9,3996.35,27.67,10.39,492.97,3.68,,,,5.57,,,,,,,
6770,Joe Burrow,QB,CIN,6,299.24,11.2,10,9.1,4174.57,33.34,11.63,178.6,1.36,,,,1.93,,,,,,,
12508,Jaxson Dart,QB,NYG,8,298.73,6.6,3,2.7,3591.43,22.26,11.05,549.14,6.49,,,,2.86,,,,,,,
8183,Brock Purdy,QB,SF,8,293.24,4.3,3,1.4,4156.5,27.69,14.3,304.43,3.84,,,,4.33,,,,,,,
7523,Trevor Lawrence,QB,JAX,7,293.25,5.4,6,2.5,3908.45,26.97,12.99,321.94,4.94,,,,3.41,,,,,,,
3294,Dak Prescott,QB,DAL,14,294.89,6.7,6,3.6,4291.15,30.94,11.3,173.45,1.72,,,,2.79,,,,,,,
4046,Patrick Mahomes,QB,KC,5,291.45,4.9,4,2.2,3839.61,27.13,11.55,359.66,3.42,,,,2.02,,,,,,,
11560,Caleb Williams,QB,CHI,10,292.09,6,7,3.6,3866.29,27.42,9.31,398.59,2.09,,,,3.01,,,,,,,
6797,Justin Herbert,QB,LAC,7,287.93,5,7,3.7,3857.94,26.21,11.66,450.15,2.12,,,,2.82,,,,,,,
11563,Bo Nix,QB,DEN,10,287.09,5.7,3,1.5,3744.8,26.84,11.04,341.41,3.66,,,,2.04,,,,,,,
421,Matthew Stafford,QB,LAR,11,285.44,5.8,3,1.7,4190.54,33.98,8.56,33.14,0.2,,,,2.75,,,,,,,
3163,Jared Goff,QB,DET,6,277.8,2.3,3,1.4,4308.02,31.68,9.99,48.16,0.23,,,,3.73,,,,,,,
12545,Tyler Shough,QB,NO,8,273.72,1.5,2,1.2,3950.01,22.18,11.69,330.19,4.1,,,,3.62,,,,,,,
4892,Baker Mayfield,QB,TB,10,268.97,1.7,2,1.1,3840.73,25.87,12.86,362.41,1.46,,,,3.71,,,,,,,
5849,Kyler Murray,QB,MIN,6,266.24,2.3,3,1.3,3499.09,23.49,13.98,476.59,3.36,,,,3.77,,,,,,,
5870,Daniel Jones,QB,IND,13,263.17,1.1,1,1.1,3761.48,23.53,11.38,250.72,3.97,,,,3.77,,,,,,,
8161,Malik Willis,QB,MIA,6,257.75,0.7,1,1.1,3370.36,17.74,12.46,642.77,4.14,,,,6.11,,,,,,,
6804,Jordan Love,QB,GB,11,257.43,1.3,2,1.1,3846.17,26.67,10.23,194.88,0.64,,,,2.98,,,,,,,
4943,Sam Darnold,QB,SEA,11,253.84,0.9,1,1.1,4091.37,27.35,12.78,131.86,0.62,,,,5.28,,,,,,,
9758,C.J. Stroud,QB,HOU,8,249.48,0.7,1,1.1,3877.67,23.5,11.35,238.77,1.02,,,,3.46,,,,,,,
9228,Bryce Young,QB,CAR,5,243.81,0.4,1,1.5,3459.25,22.76,12.04,261.43,3.05,,,,2.98,,,,,,,
1373,Geno Smith,QB,NYJ,13,220.07,0.2,1,,3459.41,22.14,14.78,210.71,1.01,,,,2.22,,,,,,,
12522,Cam Ward,QB,TEN,9,221.97,0.4,1,1.3,3587.56,19.87,10.42,185.28,2.01,,,,5.38,,,,,,,
3257,Jacoby Brissett,QB,ARI,14,220.4,0.2,1,,3590.83,19.3,10.39,214.31,1.43,,,,4.83,,,,,,,
96,Aaron Rodgers,QB,PIT,9,214.14,0.3,1,1.5,3485.43,21.73,9.37,82.58,0.63,,,,2.75,,,,,,,
13269,Fernando Mendoza,QB,LV,13,179.64,0.2,1,1.2,2881.96,15.73,12.17,233.37,1.31,,,,2.71,,,,,,,
4017,Deshaun Watson,QB,CLE,11,127.73,0.1,1,,1993.74,10.8,7.46,191.78,1.2,,,,3.34,,,,,,,
6768,Tua Tagovailoa,QB,ATL,11,114.59,0,1,,2050.25,11.14,6.32,36.64,0.09,,,,1.77,,,,,,,
11559,Michael Penix,QB,ATL,11,113.94,0,1,,1864.78,10.82,5.03,62.92,0.63,,,,1.97,,,,,,,
